COD;TRAMO;MUESTREO;LLUVIA;R;C-F;D;T;C-R;BIOM.TOT
AM1;A;M1;P1;46,2;48;152;553,7;20,8;820,7
AM2;A;M2;P1;66,1;111,9;372,9;559;105,6;1215,5
AM3;A;M3;P2;65,7;69;121,2;492,3;29,8;778
AM4;A;M4;P2;2,4;45,4;86,2;8,2;5,6;147,8
AM5;A;M5;P2;4,8;61;218,8;0,3;14,2;299,1
AM6;A;M6;P2;5,5;107,9;35,3;1895,7;30;2074,4
AM7;A;M7;P2;6;53,9;7,4;793,5;10,4;871,2
AM8;A;M8;P1;12,1;27,5;68,9;739,2;23,5;871,2
AM9;A;M9;P1;26,8;182,6;394,3;2824,4;43,1;3471,2
AM10;A;M10;P1;8;62,5;286,8;1041,1;28,9;1427,3
BM1;B;M1;P1;324,2;46,7;1226;306,2;36,9;1940
BM2;B;M2;P1;76,6;33,3;436;208,2;57,1;811,2
BM3;B;M3;P2;3,2;21;262,5;1708,9;17,4;2013
BM4;B;M4;P2;6;7,9;1146,9;1100,9;64,7;2326,4
BM5;B;M5;P2;0,4;7,9;552,8;0,8;30,4;592,3
BM6;B;M6;P2;4;74;559,6;425,9;11,1;1074,6
BM7;B;M7;P2;2;6,6;409,5;246,1;17,3;681,5
BM8;B;M8;P1;7,9;32;665,2;425,9;16;1147
BM9;B;M9;P1;178;69;1026;373,7;52,2;1698,9
BM10;B;M10;P1;12,5;9,9;834,6;191,9;17,6;1066,5
