quebrada;cuenca;pH;temp;Efem;Plec;Tric;Dipt;Cole;Ab
1;cuen1;6,8;17,4;26;4;9;30;3;72
4;cuen1;7,3;16,8;17;6;9;25;1;58
11;cuen1;5,6;16;9;3;28;24;3;67
13;cuen1;6,3;17,8;2;3;25;21;6;57
19;cuen1;5,6;18,2;6;4;24;12;13;59
3;cuen2;6,3;17;7;2;25;10;1;45
10;cuen2;7,5;16,8;19;3;12;12;3;49
15;cuen2;7;18,2;12;5;23;9;4;53
16;cuen2;7;19,8;13;6;9;0;15;43
17;cuen2;5,7;15,3;5;0;32;11;8;56
2;cuen3;5,5;17,1;17;1;23;16;17;74
5;cuen3;7,2;18,9;27;3;16;25;2;73
7;cuen3;7;16,3;19;4;21;19;13;76
8;cuen3;6,1;15;6;4;21;30;12;73
20;cuen3;5,6;15;3;4;23;39;4;73
6;cuen4;7;18,1;28;6;19;30;21;104
9;cuen4;6,2;15,8;9;5;37;26;5;82
12;cuen4;6,1;17,8;4;1;35;36;9;85
14;cuen4;6,7;15,3;19;8;7;36;8;78
18;cuen4;7,1;17,2;27;5;21;32;6;91
